Case ID,Activity,Complete Timestamp,Variant,Variant index,LISTADO DE ESTUDIANTES CON ALGÚN CRÉDITO EN LA CUENTA CORRIENTE ACADÉMICA DE MATERIAS DE AN PLAN 2019,Column 2,Column 3,Column 4,Column 5,Column 8,Column 9,Column 10,Column 11,Column 12
720,1479 - Programación 1,2019-07-22 00:00:00.000,Variant 27,27,1216,Marzo-abril 2019,52599,1479,Programación 1,P,APR,71,por dictado,
720,6402 - Administración general,2019-07-25 00:00:00.000,Variant 27,27,1216,Marzo-abril 2019,52602,6402,Administración general,P,APR,79,por dictado,
681,7109 - Fundamentos de matemática,2019-07-16 00:00:00.000,Variant 58,58,1216,Marzo-abril 2019,52606,7109,Fundamentos de matemática,P,APR,94,por dictado,
681,7109 - Fundamentos de matemática,2019-07-16 00:00:00.000,Variant 58,58,1216,Marzo-abril 2019,52606,7109,Fundamentos de matemática,T,APR,94,por dictado,
681,6402 - Administración general,2019-07-25 00:00:00.000,Variant 58,58,1216,Marzo-abril 2019,52607,6402,Administración general,T,APR,91,por dictado,
681,6402 - Administración general,2019-07-25 00:00:00.000,Variant 58,58,1216,Marzo-abril 2019,52607,6402,Administración general,P,APR,91,por dictado,
681,7687 - Taller de tecnologías 1,2019-08-13 00:00:00.000,Variant 58,58,1225,Agosto-setiembre 2019,53930,7687,Taller de tecnologías 1,P,REV,0,otros,
681,7698 - Lógica y Matemática Discreta,2019-09-17 00:00:00.000,Variant 58,58,1225,Agosto-setiembre 2019,54145,7698,Lógica y Matemática Discreta,P,REV,0,otros,
681,6406 - Fundamentos de sistemas de información,2019-12-16 00:00:00.000,Variant 58,58,1225,Agosto-setiembre 2019,53934,6406,Fundamentos de sistemas de información,T,APR,91,por dictado,
681,6406 - Fundamentos de sistemas de información,2019-12-16 00:00:00.000,Variant 58,58,1225,Agosto-setiembre 2019,53934,6406,Fundamentos de sistemas de información,P,APR,91,por dictado,
